Id,Defects
27821,0
22448,0
7654,0
48086,0
19973,0
73226,0
64536,0
92190,0
11984,0
29674,0
75571,0
3831,0
32395,0
35268,0
93953,0
84324,1
62423,0
50688,0
20763,0
30260,1
23100,0
32286,0
12917,0
12344,0
77499,0
44960,0
18964,0
40858,1
53082,1
35485,0
25902,0
58897,0
101232,0
55798,0
39894,0
49982,0
89084,0
7704,0
37263,0
7028,1
66061,0
62763,0
15892,0
41928,0
33738,0
14420,0
8458,0
7649,1
35935,0
67577,0
54282,0
18617,0
48428,0
77690,0
27720,1
61561,0
69033,1
23144,0
56180,0
24570,0
10814,0
16488,0
68920,0
52112,1
27216,0
86006,0
96766,0
43211,0
66557,0
52750,0
13040,0
42509,0
68489,0
45411,0
70186,0
9938,0
73080,0
76119,0
87721,0
72096,0
88425,0
1754,0
55766,0
52,0
4889,0
16569,0
13727,1
58080,0
42866,1
7052,0
31743,0
40543,0
32043,0
27172,0
14899,1
16247,0
94812,0
62644,0
20446,0
91332,0
35166,0
68305,0
99860,0
47675,1
75809,0
60318,0
56197,0
50787,0
98095,0
27574,0
38015,0
16891,0
2018,0
41770,1
81053,1
26822,0
69800,0
37330,0
35303,0
55401,0
11009,0
97259,0
73848,0
38332,0
36109,0
21451,0
70467,0
31389,0
97334,1
57173,0
96082,0
70217,0
86837,1
48640,0
73974,0
23716,0
53261,0
32757,0
59959,0
47474,0
75668,0
70419,0
58304,0
95392,0
26504,0
30609,0
69203,0
77368,1
94597,0
23475,0
58890,0
45782,1
1318,0
88493,0
32660,0
81798,0
74155,0
50361,0
96588,0
15575,0
36122,0
16014,0
81533,0
56901,0
65878,0
100412,0
75000,0
18639,0
27318,0
68406,0
4299,1
64366,1
88288,0
19709,0
35203,0
12649,0
72474,0
49895,0
41020,0
27768,0
74673,1
47757,0
16571,0
14911,0
57393,0
96847,0
40127,0
80487,0
5603,0
30900,0
23047,0
68102,0
93035,1
22033,1
64373,0
90533,1
24392,0
43998,0
88474,0
64333,0
67097,0
19389,0
45987,0
89750,0
6682,0
7555,0
15501,0
81026,0
15580,0
14222,0
86557,0
65012,0
62456,0
50841,0
35373,0
37350,0
53217,0
76339,0
14417,0
22597,0
56944,0
55455,0
55337,0
80957,0
13655,0
96136,0
4550,0
98169,0
55367,0
98242,0
64588,0
65403,0
35408,0
28227,0
9606,0
54267,0
70057,0
1651,0
62111,1
23502,0
84791,1
98609,0
69186,0
51833,0
90389,0
73259,0
45764,0
64118,0
61392,0
70704,0
32703,0
77472,0
80094,0
45326,1
6274,1
88587,0
91016,0
51960,0
48079,0
85148,0
5693,0
46428,0
23277,0
49648,0
33619,1
64264,0
47416,0
92879,0
82680,1
3080,0
47990,0
64074,0
66461,0
26251,0
35516,1
55744,0
31183,0
92153,0
29966,0
33141,0
73529,0
49267,0
2867,0
53954,0
59367,0
35605,0
57796,0
93164,1
34950,0
23217,0
79585,0
19821,0
96271,0
75978,0
21607,0
92520,0
60087,0
71724,0
34599,0
6826,0
28641,0
41100,0
1762,0
24306,0
20751,1
85988,0
75289,0
40621,0
26300,1
43863,0
76676,0
7104,0
52358,0
51569,0
22111,0
53973,0
18682,0
17187,0
51923,0
91060,0
992,0
38029,1
40469,0
96099,0
88960,0
18123,0
89085,0
14262,1
61735,0
28522,0
31517,0
71258,0
101119,0
51999,1
42961,0
3384,1
58093,0
13257,0
91336,0
25388,0
1017,0
95917,0
20637,0
85113,0
73904,0
23464,0
29535,1
4103,0
29611,0
37391,0
12118,0
98691,1
36483,0
51859,0
23958,0
76817,0
14632,0
5404,0
60443,0
21912,0
88156,0
39510,0
41173,1
48438,0
25709,0
45035,0
24764,0
31434,0
57952,0
9923,0
14403,0
39698,0
24222,0
51935,1
67150,0
38247,0
4263,0
58541,0
94155,0
88241,0
32016,0
40794,0
36208,0
4483,0
43144,0
8488,0
99570,0
84450,0
48965,0
67045,0
51394,0
53536,0
22582,0
82213,0
100287,0
101264,0
11973,0
72301,0
100797,1
18194,0
47287,0
13994,0
32997,1
101193,0
67300,0
77753,1
19386,0
91178,0
45890,0
51732,0
31694,0
6582,0
94379,0
95453,0
9925,0
88362,0
89623,0
23282,0
14025,0
17306,1
97244,0
87680,0
100787,0
29867,0
82401,0
4463,0
902,0
35761,0
34142,0
80304,0
61016,1
32105,0
6986,0
94798,1
94840,0
51988,0
15079,0
57258,0
99036,0
15910,0
62600,0
65872,0
25459,1
63221,0
15239,0
42541,0
40289,0
86644,0
84955,0
63767,0
49809,0
90466,1
53562,0
67621,0
38036,1
51326,0
16888,0
82245,0
76177,0
93984,0
41643,0
71335,0
46799,0
21359,0
73438,1
88715,1
36308,0
55004,0
40869,0
19173,0
10218,0
95185,0
53486,0
69310,1
52048,0
27366,0
52313,0
28809,0
13836,0
46158,0
45399,1
44408,0
84152,0
2791,0
5118,0
78377,0
8126,1
89090,0
9656,0
85713,0
49429,0
91508,0
18960,0
47643,1
3649,1
65682,0
94936,1
3213,1
69055,0
53548,0
84095,0
62509,0
6995,0
37956,0
13386,0
94272,0
90685,0
41548,0
101504,0
22941,1
60775,0
61814,1
97599,0
32490,0
89172,0
98142,0
9589,0
100860,0
9268,1
60337,0
65019,0
9001,0
84609,0
45972,0
32008,1
49430,0
28926,0
91743,0
41487,1
75746,0
16503,0
1321,0
32228,0
8467,0
6561,0
84688,0
87195,0
47998,0
8712,0
51899,0
74671,0
60156,0
60446,0
38299,1
79785,0
44573,0
46922,0
36898,0
57591,0
35119,0
623,0
54277,0
10002,0
80849,0
41316,0
55359,0
17805,0
94299,0
63979,0
8637,0
744,0
18866,0
40896,1
38592,0
49597,1
76002,0
55021,0
72721,0
41385,0
91691,0
4246,0
94078,0
72173,1
54172,0
91498,0
51267,0
52275,0
89636,1
53175,0
25527,0
21161,0
23421,0
100475,0
15738,0
46732,0
71616,0
3050,0
95558,0
51562,0
81821,0
20652,0
30985,0
4112,0
50060,0
77878,0
91653,0
11188,1
74241,0
6289,0
9543,1
19962,0
65510,0
13465,0
35101,1
82343,0
14212,0
87672,1
97703,0
60653,1
15348,1
74598,1
20304,0
41106,1
6865,1
59334,0
30413,0
60538,0
56536,0
72340,0
74499,0
98766,0
23301,0
28969,0
24475,0
43488,1
59652,1
12913,0
87782,1
22568,0
74611,0
72845,0
57469,1
55835,0
100330,0
448,0
6223,0
44264,0
65883,0
16832,0
79275,0
67735,0
36894,0
55158,0
47520,0
74183,0
98525,0
21389,0
75399,0
34485,0
30036,0
2201,1
70576,0
65083,0
81230,0
67624,0
16427,0
27326,0
101049,0
91197,0
83980,0
7023,0
22817,1
43843,0
60421,0
54684,1
19361,0
93824,1
41934,0
28793,0
49279,0
92960,0
12957,0
57850,0
18802,0
11737,0
34312,0
95229,0
36188,0
27110,0
61092,0
61207,0
80063,0
62224,0
12804,1
96153,0
74353,0
54628,0
39669,0
38192,1
45721,1
85234,0
56144,0
23623,0
85587,0
101207,0
88589,0
63842,0
40435,0
69715,1
5864,0
30992,0
59202,0
64462,0
88868,0
44899,1
61831,0
70454,0
55448,0
70132,0
50349,1
96490,0
39712,0
80450,0
22516,1
82846,1
32164,0
33681,0
58619,0
40313,0
56610,0
39397,0
78988,0
30719,0
16778,0
17118,0
17659,0
87459,1
49403,0
58354,0
73689,0
91043,0
81358,0
7847,0
11566,0
16721,1
32691,0
61422,0
57778,0
53194,0
38251,0
87308,0
7877,0
99595,0
2581,0
30239,0
12602,0
29331,0
15399,1
64890,0
81598,0
16674,0
100570,1
20187,0
22417,0
75827,0
91037,1
6514,0
18132,0
9526,0
76982,0
60600,0
47247,0
33354,0
28311,0
22168,0
65772,0
31774,0
54040,1
42740,0
68899,0
10056,1
84051,0
87155,0
73294,0
94953,1
80771,0
46130,0
46415,0
93602,0
52568,0
39612,0
28102,0
30358,0
96684,0
15875,0
92152,0
87375,0
63438,1
83624,1
3184,0
27462,0
48802,1
10560,0
53039,0
29472,0
72080,0
54912,0
26758,0
81847,0
27636,0
11306,0
52262,1
86695,0
49853,0
20315,0
17669,0
23293,0
95661,0
48743,0
40905,0
72746,0
57871,0
75011,0
20495,0
86617,0
2534,0
14641,0
38584,0
14431,0
9105,0
88932,0
41963,0
3580,0
99067,0
63926,0
90702,1
41309,1
64882,0
93603,0
43827,0
62671,0
73227,0
35220,0
77365,0
3130,0
95524,0
74881,0
42585,0
61628,0
92115,0
64057,0
88044,1
35582,0
78396,0
77742,0
40634,0
98824,0
43974,0
17048,0
13364,0
68054,1
34851,0
98606,0
38262,0
29874,0
55392,0
45324,0
42895,0
668,0
5105,0
58914,0
69126,0
31522,0
2404,0
828,1
20557,0
11073,1
97401,0
97705,1
91705,0
48748,0
51448,0
20297,0
11539,0
85050,0
1001,0
52495,0
56171,0
20380,0
28331,1
25700,0
89291,0
88023,0
94743,1
76771,0
72823,0
47340,1
678,0
75841,1
17443,1
21749,0
39478,0
13949,1
875,0
1926,0
10237,0
64233,0
85308,0
56134,0
80538,0
8304,1
41508,0
10786,0
67987,1
11849,0
85227,0
69850,0
27225,0
64202,0
12631,0
30174,0
32869,0
43295,0
83188,0
95590,0
93649,0
94029,0
101330,1
89863,0
26953,0
59010,0
44657,0
76014,0
19407,0
11577,0
28547,0
77193,0
44889,0
24667,1
20485,0
26471,0
62490,0
40230,0
14274,1
58654,0
98398,0
57572,0
52497,0
91668,0
79417,0
72581,0
43114,0
42898,0
83382,0
64392,0
10729,0
1510,0
16164,0
28269,1
41774,0
6709,0
38093,0
7175,0
33931,1
24743,0
50118,0
93006,1
96917,0
78429,0
19517,0
58111,1
34732,0
41703,0
86091,0
15078,0
72029,0
27252,0
97788,0
62965,0
42289,0
82816,0
40937,0
40375,0
64572,0
775,0
101405,1
23516,0
70882,0
68855,0
72487,0
39694,0
55165,0
76774,0
39611,0
62209,0
5469,1
83444,0
57227,0
26567,0
5143,0
19786,0
50998,1
69320,1
40167,0
78209,0
92790,0
10357,0
63783,0
17353,1
33164,1
82359,0
37386,0
10666,0
86440,0
27308,0
70939,0
48418,0
80740,0
2974,0
89962,0
86877,0
99567,0
50026,1
99301,0
4878,0
44107,0
81917,0
77439,0
94901,0
10386,0
14010,1
35672,0
61775,0
27609,0
18276,0
40483,0
63098,0
4572,0
34814,0
83979,0
92096,0
92306,0
99150,0
5020,0
44536,0
17111,1
57909,0
47798,0
6371,0
29878,0
44590,0
66496,0
97560,0
26093,0
62738,0
35440,1
32979,0
15029,0
45631,0
14665,0
52717,0
8594,1
57295,0
8690,0
51074,0
21407,1
61754,0
98336,0
25879,0
14650,0
40273,0
75409,1
99074,0
28632,1
73838,0
53198,0
11664,0
54785,0
71396,0
66458,0
27718,0
48173,0
26768,0
23030,0
42672,0
57003,0
4966,0
92501,0
57722,0
82639,1
13631,0
11827,0
47851,0
95241,0
32764,0
60869,0
31336,0
73505,1
82033,0
42651,0
50600,0
88369,0
24745,0
89449,1
7599,1
17058,0
30079,0
44229,0
98307,0
65041,0
33134,0
95804,0
18628,1
92913,0
15966,1
86059,0
32434,1
45197,0
41262,0
29451,0
62429,0
72594,0
50682,0
31148,0
61903,0
92114,0
62507,0
57496,0
89621,1
100380,0
3469,0
56825,0
101558,0
45084,0
74477,0
67202,0
68928,0
92033,0
24239,0
2150,0
3085,0
21051,0
12958,0
61849,1
9169,0
37662,0
51417,0
77778,1
29502,0
58109,0
48320,0
42301,1
18303,1
100491,1
94380,0
2435,0
40725,1
27133,0
76300,0
33421,1
82723,1
101,0
86428,0
34164,0
17020,0
4530,0
79888,0
66078,0
79755,0
72789,0
89351,1
9272,0
55157,0
28854,0
56677,0
61638,0
46701,0
47363,0
58912,0
62493,0
18448,0
50981,0
42623,0
65229,0
76472,0
99113,0
33935,0
73918,0
25,1
52663,0
85149,0
19468,0
31303,0
97407,0
42718,0
72213,0
89719,1
78842,0
89772,0
29574,0
71665,0
51551,0
64209,0
72011,0
41004,1
95072,0
14405,1
17736,0
36167,0
29186,0
36004,0
2601,0
6158,0
94668,0
25516,0
60389,0
49467,0
58278,0
12532,0
4875,0
95812,0
95464,0
77085,0
39821,0
86185,0
89278,0
89545,0
5674,0
84829,1
50753,0
44035,0
72181,0
73001,0
52134,0
75196,0
90100,0
79493,0
34979,1
97943,1
31043,0
46281,0
17916,0
62810,0
18656,0
69528,0
78465,0
84513,0
17453,1
85882,1
46379,1
15781,0
96086,0
38481,0
55450,0
5111,0
9549,1
70526,0
93662,0
37153,0
94966,0
63895,0
41969,0
49419,0
51706,0
21465,0
3404,1
99588,0
26545,1
63638,0
63065,0
45004,0
62627,0
85428,0
65023,0
80851,0
77868,1
94487,0
53883,0
32967,0
24855,1
9276,0
65444,0
56590,0
38515,0
17203,0
33107,0
3345,0
62470,0
2817,0
68898,0
55420,0
82684,0
56004,0
21698,0
99426,1
3519,1
87443,0
91967,0
1144,0
76931,0
38922,1
81524,0
31040,0
48105,0
18588,0
93954,0
39635,0
80329,0
99312,0
66425,0
51159,0
83778,0
1397,0
13992,0
92817,0
70768,0
15951,1
79504,0
99790,0
94040,0
10664,0
91281,0
44150,0
64933,0
27250,0
65845,0
84533,0
92860,0
93906,0
78531,0
92268,0
38473,1
89806,0
76880,1
52124,0
19417,0
44844,0
87134,1
67960,0
19753,0
89413,0
21536,0
79736,0
10965,1
28856,1
76191,0
62357,0
36294,1
32517,0
92900,0
76348,0
22093,0
77853,1
636,0
3194,0
19693,0
92112,0
36000,0
90281,0
98045,0
85,0
40693,0
88438,0
85325,1
90527,0
63071,0
38894,0
26201,0
91830,0
24940,0
45105,0
18350,0
29921,0
10071,0
57580,0
35864,0
15451,0
78492,0
70672,0
54493,0
55402,0
86386,0
41532,0
95184,0
92992,1
17880,0
13134,0
63602,0
6924,0
16856,0
55680,0
15271,1
84735,1
22776,0
40139,0
71887,0
11310,0
42420,0
87343,0
28993,0
48501,0
77807,0
37853,0
5093,0
75024,0
90845,1
59508,1
94871,0
9907,0
10302,0
41678,0
28468,0
82463,1
100025,1
76404,0
67722,0
1590,1
55732,0
17340,0
77370,0
38490,0
40739,1
93053,0
78212,1
32282,0
661,0
24500,0
60062,1
36967,0
23045,0
66645,0
51302,0
63365,0
76214,0
10502,1
20566,0
86111,0
69654,1
74983,1
55178,0
47616,0
2040,0
6161,0
96628,0
24556,0
49306,0
49489,0
50482,0
49865,0
7768,0
68639,0
15306,0
73015,0
100710,0
50791,0
95497,0
4100,0
78527,0
74834,0
96691,0
31105,0
98831,0
33103,0
48241,0
4510,0
71444,0
78215,0
18099,0
36891,0
8651,0
1989,0
89159,0
14224,0
8142,0
30629,0
2916,0
66805,0
58525,0
72949,0
93362,0
88683,0
28375,1
68590,0
86391,0
75132,0
60157,1
35005,0
15846,1
49358,0
38314,0
63583,0
29071,0
84793,0
12928,1
90231,0
13222,0
71098,0
31578,0
42354,0
37371,0
10688,0
85054,0
98878,0
2605,0
26961,1
99581,0
44513,0
35443,0
39208,0
40418,0
26636,1
71158,1
13546,1
82948,0
48045,1
87152,0
1080,0
19357,0
9260,0
82556,0
35702,0
48678,0
64237,0
7858,0
8843,0
